submission_id,age,anchor,chain,education,experiment_duration,experiment_end_time,experiment_start_time,gender,generation,guess,item,languages,prolific_pid,prolific_session_id,prolific_study_id,responseTime,variant
3611,34,25,2,Higher degree,421839,1651135156336,1651134734497,female,8,80,water,english,614a188303ec38773025fc92,626a5104ad28f8ab34d9c822,626953960484cf1d4c9153ed,23457,1
3611,34,200,2,Higher degree,421839,1651135156336,1651134734497,female,8,350,mobile,english,614a188303ec38773025fc92,626a5104ad28f8ab34d9c822,626953960484cf1d4c9153ed,18897,1
3611,34,2500,2,Higher degree,421839,1651135156336,1651134734497,female,8,3400,calories,english,614a188303ec38773025fc92,626a5104ad28f8ab34d9c822,626953960484cf1d4c9153ed,8471,1
3610,37,2500,2,Graduated High-school,157201,1651134901288,1651134744087,female,8,2700,calories,English,5ea003d55707eb000996fe82,626a51031c3b3b90bda73a8b,626953960484cf1d4c9153ed,25755,2
3610,37,40,2,Graduated High-school,157201,1651134901288,1651134744087,female,8,50,water,English,5ea003d55707eb000996fe82,626a51031c3b3b90bda73a8b,626953960484cf1d4c9153ed,13412,2
3610,37,180,2,Graduated High-school,157201,1651134901288,1651134744087,female,8,200,mobile,English,5ea003d55707eb000996fe82,626a51031c3b3b90bda73a8b,626953960484cf1d4c9153ed,20752,2
3609,25,240,1,Graduated College,92698,1651134834913,1651134742215,female,8,300,mobile,English,5fe20691d92c4a500972e1ed,626a51097e2e0eef56b2b271,626953960484cf1d4c9153ed,11745,1
3609,25,50,1,Graduated College,92698,1651134834913,1651134742215,female,8,40,water,English,5fe20691d92c4a500972e1ed,626a51097e2e0eef56b2b271,626953960484cf1d4c9153ed,8950,1
3609,25,1800,1,Graduated College,92698,1651134834913,1651134742215,female,8,2000,calories,English,5fe20691d92c4a500972e1ed,626a51097e2e0eef56b2b271,626953960484cf1d4c9153ed,7543,1
3608,36,180,1,Graduated High-school,90415,1651134829795,1651134739380,female,8,120,mobile,English,5b9d90c56b0f63000148e13f,626a510948106a1d7b1170d4,626953960484cf1d4c9153ed,14261,2
3608,36,2500,1,Graduated High-school,90415,1651134829795,1651134739380,female,8,3000,calories,English,5b9d90c56b0f63000148e13f,626a510948106a1d7b1170d4,626953960484cf1d4c9153ed,8566,2
3608,36,18,1,Graduated High-school,90415,1651134829795,1651134739380,female,8,22,water,English,5b9d90c56b0f63000148e13f,626a510948106a1d7b1170d4,626953960484cf1d4c9153ed,8310,2
3607,32,2500,2,Higher degree,89017,1651134823549,1651134734532,male,7,2500,calories,english,5f1c63ce2fdbc407f0fe1a65,626a510b058b70113144bc41,626953960484cf1d4c9153ed,9665,2
3607,32,25,2,Higher degree,89017,1651134823549,1651134734532,male,7,40,water,english,5f1c63ce2fdbc407f0fe1a65,626a510b058b70113144bc41,626953960484cf1d4c9153ed,19312,2
3607,32,300,2,Higher degree,89017,1651134823549,1651134734532,male,7,180,mobile,english,5f1c63ce2fdbc407f0fe1a65,626a510b058b70113144bc41,626953960484cf1d4c9153ed,10376,2
